n,score_fun,score
0,AUC,0.9804160311734933
0,Fmax,0.8634872556114848
0,Fbeta,0.7921405642401806
0,Gbeta,0.5869904529063716
0,F2018,0.8162404920732322
1,AUC,0.9804973486969343
1,Fmax,0.8643226049149242
1,Fbeta,0.7955430871063212
1,Gbeta,0.5898852499093935
1,F2018,0.8184226740493213
2,AUC,0.9807900298929201
2,Fmax,0.8650339898241852
2,Fbeta,0.7981169668050637
2,Gbeta,0.5939139907604423
2,F2018,0.8210719585970404
3,AUC,0.9810736966586724
3,Fmax,0.8667648375983603
3,Fbeta,0.7992671020901324
3,Gbeta,0.5984657305889037
3,F2018,0.8220361962497813
4,AUC,0.9812073664414127
4,Fmax,0.8668996745111537
4,Fbeta,0.7997159549955424
4,Gbeta,0.5991467060034227
4,F2018,0.8244112574232157
5,AUC,0.9814527094823446
5,Fmax,0.8671461595196491
5,Fbeta,0.7999204550693657
5,Gbeta,0.600987273614186
5,F2018,0.824470345201577
6,AUC,0.9814537547550898
6,Fmax,0.8674321435036669
6,Fbeta,0.8021081896424509
6,Gbeta,0.6013378589897693
6,F2018,0.8247595245734616
7,AUC,0.9819194834316736
7,Fmax,0.8677945017428148
7,Fbeta,0.8027849327287423
7,Gbeta,0.6024062301044517
7,F2018,0.8249829719082222
8,AUC,0.9819661821114739
8,Fmax,0.8682206512485614
8,Fbeta,0.8049948599356709
8,Gbeta,0.6029534736803348
8,F2018,0.825473513961372
9,AUC,0.982167763311622
9,Fmax,0.8686381146832042
9,Fbeta,0.8054973777192279
9,Gbeta,0.604168201248666
9,F2018,0.8257939127263072
10,AUC,0.9821897936484005
10,Fmax,0.8689284648172105
10,Fbeta,0.8064527462772124
10,Gbeta,0.6046313874954574
10,F2018,0.8259720832069085
11,AUC,0.9822695314039189
11,Fmax,0.8694763563710397
11,Fbeta,0.8068728923920504
11,Gbeta,0.6058661120233299
11,F2018,0.8264688107191948
12,AUC,0.9823178475480911
12,Fmax,0.8697784394430335
12,Fbeta,0.8073213525340103
12,Gbeta,0.6073106131635656
12,F2018,0.826556162390907
13,AUC,0.9823265828252703
13,Fmax,0.8705003316153966
13,Fbeta,0.8073559675047798
13,Gbeta,0.6077613664263346
13,F2018,0.8267895974801862
14,AUC,0.9824728972445573
14,Fmax,0.8705088985033328
14,Fbeta,0.8077116694894626
14,Gbeta,0.608952480213726
14,F2018,0.8273208734218194
15,AUC,0.9824751732665651
15,Fmax,0.8707930914690165
15,Fbeta,0.8077547363471602
15,Gbeta,0.609544081122305
15,F2018,0.8279934347258604
16,AUC,0.9824853407392531
16,Fmax,0.8708130994990496
16,Fbeta,0.807783099770953
16,Gbeta,0.6095971127938794
16,F2018,0.8280788027902147
17,AUC,0.9824910735050685
17,Fmax,0.870901290375306
17,Fbeta,0.8079407521446339
17,Gbeta,0.6098422978276622
17,F2018,0.8284303258280473
18,AUC,0.9825397572921417
18,Fmax,0.8709085598774825
18,Fbeta,0.8085723219311715
18,Gbeta,0.6101031066505249
18,F2018,0.8285186150441549
19,AUC,0.9825895814562186
19,Fmax,0.8710954103982903
19,Fbeta,0.8094094469919708
19,Gbeta,0.6101312241376337
19,F2018,0.8286730106056633
20,AUC,0.9826340505049372
20,Fmax,0.8713855236891861
20,Fbeta,0.8098919325358627
20,Gbeta,0.610193437110239
20,F2018,0.8288319883930083
21,AUC,0.9827620484407991
